id,name,score,March 2019 w/ Digital Rights Reviewer,March 2019,February 2019,January 2019,December 2018
492,XPO.Network,DR,49,undefined,undefined,undefined,undefined
205,Lio,Total,43,43,35,34,20
205,Lio,DE,47,47,26,18,17
205,Lio,PH,43,43,54,46,21
205,Lio,TMYUI,37,30,20,35,undefined
205,Lio,DR,1,undefined,undefined,undefined,undefined
244,DotPodcast,Total,44,45,39,39,26
244,DotPodcast,DE,38,38,36,35,20
244,DotPodcast,PH,34,34,32,26,32
244,DotPodcast,TMYUI,41,45,23,44,undefined
244,DotPodcast,DR,1,undefined,undefined,undefined,undefined
679,Breakout,Total,45,47,44,36,25
679,Breakout,DE,31,31,30,28,14
679,Breakout,PH,35,35,46,39,33
679,Breakout,TMYUI,50,48,52,28,undefined
679,Breakout,DR,1,undefined,undefined,undefined,undefined
815,H2H Vehicle Tracker,Total,46,36,24,22,13
815,H2H Vehicle Tracker,DE,22,22,21,17,18
815,H2H Vehicle Tracker,PH,48,48,19,14,15
815,H2H Vehicle Tracker,TMYUI,52,51,32,43,undefined
815,H2H Vehicle Tracker,DR,51,undefined,undefined,undefined,undefined
177,Souq,Total,47,50,48,41,31
177,Souq,DE,44,44,43,37,23
177,Souq,PH,44,44,25,20,24
177,Souq,TMYUI,44,43,51,38,undefined
177,Souq,DR,1,undefined,undefined,undefined,undefined
1184,Thunderstack,Total,48,52,undefined,undefined,undefined
1184,Thunderstack,DE,54,54,undefined,undefined,undefined
1184,Thunderstack,PH,37,37,undefined,undefined,undefined
1184,Thunderstack,TMYUI,33,26,undefined,undefined,undefined
1184,Thunderstack,DR,1,undefined,undefined,undefined,undefined
924,OI Chat,Total,49,48,47,43,undefined
924,OI Chat,DE,29,29,37,37,undefined
924,OI Chat,PH,50,50,28,24,undefined
924,OI Chat,TMYUI,41,46,45,41,undefined
924,OI Chat,DR,34,undefined,undefined,undefined,undefined
1074,Twoblocks,Total,50,54,45,undefined,undefined
1074,Twoblocks,DE,49,49,43,undefined,undefined
1074,Twoblocks,PH,42,42,20,undefined,undefined
1074,Twoblocks,TMYUI,53,53,49,undefined,undefined
1074,Twoblocks,DR,1,undefined,undefined,undefined,undefined
1085,TimeStack,Total,51,41,43,undefined,undefined
1085,TimeStack,DE,49,49,43,undefined,undefined
1085,TimeStack,PH,17,54,34,undefined,undefined
1085,TimeStack,TMYUI,27,8,24,undefined,undefined
1085,TimeStack,DR,51,undefined,undefined,undefined,undefined
823,Pden,Total,52,49,52,45,33
823,Pden,DE,37,37,35,37,23
823,Pden,PH,25,25,48,40,30
